Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0	14	140	2	3840	64	54.99	0.9	6.37	6.17	20	2.76	39.2
sda	0	0	162	17	4448	80	50.59	1.57	8.76	8.32	12.94	2.68	48
sda	0	0	180	0	5136	0	57.07	1	5.53	5.53	0	2.62	47.2
sda	0	0	157	0	4944	0	62.98	1.92	12.23	12.23	0	3.36	52.8
sda	0	0	125	0	4400	0	70.4	0.6	4.77	4.77	0	2.46	30.8
sda	0	10	143	2	4032	48	56.28	1.24	7.89	7.69	22	3.09	44.8
sda	0	0	155	0	4720	0	60.9	1	7.07	7.07	0	2.45	38
sda	0	0	107	0	3152	0	58.92	1	9.23	9.23	0	3.03	32.4
sda	0	0	128	0	3664	0	57.25	0.76	6.03	6.03	0	2.84	36.4
sda	0	0	116	0	3632	0	62.62	0.57	4.93	4.93	0	2.14	24.8
sda	0	2	114	2	3280	16	56.83	0.61	5.24	4.81	30	2.48	28.8
sda	0	0	118	1	2784	20	47.13	0.37	3.09	3.12	0	1.98	23.6
sda	0	0	119	0	3856	0	64.81	1.33	11.16	11.16	0	2.45	29.2
sda	0	0	111	0	2752	0	49.59	0.62	5.55	5.55	0	2.7	30
sda	0	0	90	0	2848	0	63.29	0.33	3.64	3.64	0	2.49	22.4
sda	0	3	127	2	4016	20	62.57	1.04	8.12	7.87	24	3.04	39.2
sda	0	0	83	0	2608	0	62.84	0.63	7.57	7.57	0	2.41	20
sda	0	0	63.37	0	1774.26	0	56	0.28	4.44	4.44	0	2.5	15.84
sda	0	0	77	0	2224	0	57.77	0.33	3.9	3.9	0	2.34	18
sda	0	0	128	0	4336	0	67.75	0.47	3.91	3.91	0	2.06	26.4
sda	0	2	64	2	1552	16	47.52	0.24	3.58	3.38	10	2.79	18.4
sda	0	0	82	0	2288	0	55.8	0.18	2.2	2.2	0	1.71	14
sda	0	0	140	0	4344	0	62.06	2.64	18.83	18.83	0	4.83	67.6
sda	0	0	132	0	4288	0	64.97	0.49	3.73	3.73	0	2.09	27.6
sda	0	0	74	0	3008	0	81.3	0.32	4.32	4.32	0	2.16	16
sda	0	11	44	2	1392	52	62.78	0.18	3.91	3.45	14	2.96	13.6
sda	0	0	85	0	2352	0	55.34	0.68	7.95	7.95	0	2.78	23.6
sda	0	0	58	0	1952	0	67.31	0.24	4.21	4.21	0	2.83	16.4
sda	0	0	58	0	1696	0	58.48	0.14	2.41	2.41	0	1.45	8.4
sda	0	0	68	0	1696	0	49.88	0.28	4.06	4.06	0	2.18	14.8
sda	0	2	66	2	2096	16	62.12	0.23	3.41	3.09	14	2.18	14.8
sda	0	0	72	0	1968	0	54.67	0.26	3.61	3.61	0	2.39	17.2
sda	0	0	103	0	2704	0	52.5	0.8	7.81	7.81	0	2.56	26.4
sda	0	0	123	0	3168	0	51.51	0.53	4.29	4.29	0	2.28	28
sda	0	0	159	0	4496	0	56.55	0.82	5.18	5.18	0	2.47	39.2
sda	0	2	157	2	4448	16	56.15	1.19	7.47	7.36	16	2.84	45.2
sda	0	1	165	16	4672	84	52.55	1.16	6.39	6.98	0.25	2.67	48.4
sda	0	0	110	0	3264	0	59.35	0.44	4.04	4.04	0	2.47	27.2
sda	0	0	157	0	4848	0	61.76	1.86	11.82	11.82	0	2.34	36.8
